budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
70000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",,8427,"[{""id"": 810, ""name"": ""budapest""}, {""id"": 1930, ""name"": ""kidnapping""}, {""id"": 2792, ""name"": ""boxer""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 5362, ""name"": ""liberation of hostage""}, {""id"": 7188, ""name"": ""hostage-taking""}, {""id"": 187056, ""name"": ""woman director""}]",en,I Spy,"When the Switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the U.S. government, one of the United States' top spies, Alex Scott, is called to action. What he doesn't expect is to get teamed up with a cocky civilian, World Class Boxing Champion Kelly Robinson, on a dangerous top secret espionage mission. Their assignment: using equal parts skill and humor, catch Arnold Gundars, one of the world's most successful arms dealers.",13.267631,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-10-31,33561137,97.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""hu"", ""name"": ""Magyar""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Attitude meets espionage.,I Spy,5.2,269
7,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 80, ""name"": ""Crime""}]",,13006,"[{""id"": 3528, ""name"": ""flooding""}, {""id"": 9685, ""name"": ""futuristic""}, {""id"": 15167, ""name"": ""police detective""}]",en,Split Second,"In a futuristic London, the rising sea levels mean that large areas are under feet of water. Hauer plays a cop who previously lost his partner to some strange creature. Now the creature is back and its after him.",4.857028,"[{""name"": ""Entertainment"", ""id"": 7676}, {""name"": ""Muse Productions"", ""id"": 15231}, {""name"": ""Challenge Film Corporation"", ""id"": 75037}, {""name"": ""XYZ Funding N.V."", ""id"": 75038}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",1992-05-01,5,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,He's seen the future. Now he has to kill it.,Split Second,5.7,63
14000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",,18041,"[{""id"": 3616, ""name"": ""college""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 18453, ""name"": ""gossip""}, {""id"": 189868, ""name"": ""rumor""}, {""id"": 222173, ""name"": ""social experiment""}]",en,Gossip,"On a beautiful college campus, something ugly is about to be spread around. A bit of gossip that was told is starting to take a frightening turn. Who could it have offended and how far will the person on the other side of the gossip handle the embarrassing situation.",5.833687,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Outlaw Productions (I)"", ""id"": 19507}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-04-21,5108820,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,"It can turn you on, or turn on you.",Gossip,5.5,68
15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,5038,"[{""id"": 107, ""name"": ""barcelona spain""}, {""id"": 3190, ""name"": ""menage a trois""}, {""id"": 10818, ""name"": ""author""}]",en,Vicky Cristina Barcelona,"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",32.758254,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Gravier Productions"", ""id"": 1824}, {""name"": ""Antena 3 Films"", ""id"": 6538}, {""name"": ""Televisi\u00f3 de Catalunya (TV3)"", ""id"": 8530}, {""name"": ""Antena 3 Televisi\u00f3n"", ""id"": 11737}, {""name"": ""Mediapro"", ""id"": 12010}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""ES"", ""name"": ""Spain""}]",2008-08-15,96408652,96.0,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Life is the ultimate work of art,Vicky Cristina Barcelona,6.7,1020
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,"[{""id"": 616, ""name"": ""witch""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 3872, ""name"": ""broom""}, {""id"": 3884, ""name"": ""school of witchcraft""}, {""id"": 6333, ""name"": ""wizardry""}, {""id"": 10164, ""name"": ""apparition""}, {""id"": 10791, ""name"": ""teenage crush""}, {""id"": 12564, ""name"": ""werewolf""}]",en,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-07-07,933959197,153.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293
70000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}]",http://www.avp-movie.com/,395,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 1297, ""name"": ""predator""}, {""id"": 1378, ""name"": ""laserpointer""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 1949, ""name"": ""pyramid""}, {""id"": 6049, ""name"": ""praise""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 226177, ""name"": ""xenomorph""}]",en,AVP: Alien vs. Predator,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",42.957216,"[{""name"": ""Impact Pictures"", ""id"": 248}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Stillking Films"", ""id"": 11345}, {""name"": ""Brandywine Productions"", ""id"": 19747}, {""name"": ""Lonlink Productions"", ""id"": 19828}, {""name"": ""Kut Productions"", ""id"": 19829}, {""name"": ""Inside Track Films"", ""id"": 19834}, {""name"": ""Charenton Productions Limited"", ""id"": 19835}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-08-12,171183863,101.0,"[{""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Whoever wins... We lose,AVP: Alien vs. Predator,5.5,1217
9000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,6521,"[{""id"": 6078, ""name"": ""politics""}, {""id"": 9937, ""name"": ""suspense""}]",en,The Contender,"Political thriller about Laine Hanson's nomination and confirmation as Vice President. An allegation that she was involved in a sexual orgy at the age of 19 is leaked to the press. As pressure mounts on Laine, she's torn between fighting back or sticking to her principles and refusing to comment on the allegations.",7.029126,"[{""name"": ""Battleplan Productions"", ""id"": 2108}, {""name"": ""DreamWorks Pictures"", ""id"": 7293}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-10-13,0,126.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Sometimes you can assassinate a leader without firing a shot.,The Contender,6.7,60
55000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,1597,"[{""id"": 591, ""name"": ""cia""}, {""id"": 822, ""name"": ""airport""}, {""id"": 977, ""name"": ""cat""}, {""id"": 2606, ""name"": ""jew""}, {""id"": 3454, ""name"": ""orderly""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 4604, ""name"": ""father-in-law""}, {""id"": 5599, ""name"": ""epistaxis""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 5601, ""name"": ""lost baggage""}, {""id"": 5602, ""name"": ""urn""}, {""id"": 5604, ""name"": ""pavilion""}, {""id"": 5605, ""name"": ""volleyball""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 13027, ""name"": ""wedding""}]",en,Meet the Parents,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze.",29.97224,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Tribeca Productions"", ""id"": 11391}, {""name"": ""Nancy Tenenbaum Films"", ""id"": 41248}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-10-06,330444045,108.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,First comes love. Then comes the interrogation.,Meet the Parents,6.6,1698
17000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,19255,"[{""id"": 10131, ""name"": ""interracial relationship""}, {""id"": 168468, ""name"": ""dead father""}, {""id"": 168469, ""name"": ""reference to bob dylan""}, {""id"": 168471, ""name"": ""biracial""}, {""id"": 168472, ""name"": ""bedtime story""}, {""id"": 168477, ""name"": ""unmarried couple""}, {""id"": 168479, ""name"": ""medical illustrator""}, {""id"": 168481, ""name"": ""disguised voice""}, {""id"": 168482, ""name"": ""reference to huckleberry finn""}, {""id"": 168483, ""name"": ""student protest""}, {""id"": 168485, ""name"": ""sonogram""}, {""id"": 168486, ""name"": ""expectant grandmother""}, {""id"": 168490, ""name"": ""dead parents""}, {""id"": 168491, ""name"": ""testicles""}]",en,Away We Go,"Verona and Burt have moved to Colorado to be close to Burt's parents but, with Veronica expecting their first child, Burt’s parents decide to move to Belgium, now leaving them in a place they hate and without a support structure in place. They set off on a whirlwind tour of of disparate locations where they have friends or relatives, sampling not only different cities and climates but also different families. Along the way they realize that the journey is less about discovering where they want to live and more about figuring out what type of parents they want to be.",10.13559,"[{""name"": ""Neal Street Productions"", ""id"": 1522}, {""name"": ""Focus Features"", ""id"": 10146}, {""name"": ""Big Beach Films"", ""id"": 12808}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-06-05,14899417,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Away We Go,6.7,189
2500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.sleepdealer.com/,20764,"[{""id"": 4563, ""name"": ""virtual reality""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 4690, ""name"": ""moral conflict""}, {""id"": 6104, ""name"": ""computer""}, {""id"": 9957, ""name"": ""loneliness""}, {""id"": 10489, ""name"": ""water shortage""}, {""id"": 10508, ""name"": ""teacher""}]",en,Sleep Dealer,"Set in a near-future, militarized world marked by closed borders, virtual labor and a global digital network that joins minds and experiences, three strangers risk their lives to connect with each other and break the barriers of technology.",4.624691,"[{""name"": ""Likely Story"", ""id"": 1785}]","[{""iso_3166_1"": ""MX"", ""name"": ""Mexico""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-12-10,107559,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Crossing the border just got easier. Plug into the new American dream.,Sleep Dealer,6.0,40
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",,56491,"[{""id"": 526, ""name"": ""rebel""}, {""id"": 840, ""name"": ""usa president""}, {""id"": 1562, ""name"": ""hostage""}, {""id"": 3800, ""name"": ""airplane""}]",en,In Her Line of Fire,"When the Vice President's plane goes down near a remote Pacific island, he is kidnapped by rebel forces and held for ransom. It is up to his female Secret Service agent and a press secretary to infiltrate the camp and save him.",0.429587,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-04-21,0,88.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Behind Enemy Lines No Man Can Stop Her. Only One Woman Can Touch Her.,In Her Line of Fire,3.3,9
7000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",http://beyondthelightsmovie.tumblr.com/,241771,"[{""id"": 2276, ""name"": ""talent""}, {""id"": 3836, ""name"": ""success""}, {""id"": 4048, ""name"": ""musician""}, {""id"": 187056, ""name"": ""woman director""}]",en,Beyond the Lights,"Noni Jean is a hot new rising star. But not all is what it seems, and the pressure causes Noni to nearly fall apart - until she meets Kaz Nicol, a promising young cop and aspiring politician who's been assigned to her detail. Can Kaz's love give Noni the courage to find her own voice and break free to become the artist she was meant to be?",8.079046,"[{""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Homegrown Pictures"", ""id"": 8840}, {""name"": ""Black Entertainment Television (BET)"", ""id"": 42321}, {""name"": ""Relativity Sports"", ""id"": 86115}, {""name"": ""Undisputed Cinema"", ""id"": 86116}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-09-10,14618727,116.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Open your heart, find your voice.",Beyond the Lights,7.0,139
4000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",,987,"[{""id"": 520, ""name"": ""chicago""}, {""id"": 736, ""name"": ""journalist""}, {""id"": 918, ""name"": ""newspaper""}, {""id"": 1459, ""name"": ""marriage proposal""}, {""id"": 4602, ""name"": ""stress""}, {""id"": 4604, ""name"": ""father-in-law""}, {""id"": 155744, ""name"": ""newspaper man""}]",en,The Front Page,A journalist suffering from burn-out wants to finally say goodbye to his office – but his boss doesn’t like the idea one bit.,4.117968,"[{""name"": ""Universal Studios"", ""id"": 13}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1974-12-01,0,105.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,The Front Page,6.9,68
1300000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",,103,"[{""id"": 422, ""name"": ""vietnam veteran""}, {""id"": 444, ""name"": ""taxi""}, {""id"": 1523, ""name"": ""obsession""}, {""id"": 2231, ""name"": ""drug dealer""}, {""id"": 4225, ""name"": ""night shift""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 7368, ""name"": ""alienation""}, {""id"": 9622, ""name"": ""misanthrope""}, {""id"": 11325, ""name"": ""shot to death""}, {""id"": 33625, ""name"": ""illegal prostitution""}, {""id"": 167104, ""name"": ""loner""}]",en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",58.845025,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Italo/Judeo Productions"", ""id"": 46059}, {""name"": ""Bill/Phillips"", ""id"": 46060}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1976-02-07,28262574,114.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,8.0,2535
117000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",http://www.knightanddaymovie.com,37834,"[{""id"": 470, ""name"": ""spy""}, {""id"": 822, ""name"": ""airport""}, {""id"": 1420, ""name"": ""gas station""}, {""id"": 2101, ""name"": ""garage""}, {""id"": 3203, ""name"": ""pilot""}, {""id"": 3713, ""name"": ""chase""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 6399, ""name"": ""rope""}, {""id"": 9778, ""name"": ""exploding building""}, {""id"": 15483, ""name"": ""car chase""}, {""id"": 33352, ""name"": ""police car""}, {""id"": 33353, ""name"": ""boy genius""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",44.906918,"[{""name"": ""Tree Line Films"", ""id"": 84}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Pink Machine"", ""id"": 21845}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-06-15,261930431,109.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Every Hit Man Deserves a Second Shot!,Knight and Day,5.9,1547
